diff_tp X,diff_tp Y,tphl X,tphl Y,tplh X,tplh Y
1,4.247883631233062e-13,1,1.905446115364385e-12,1,2.330234478487691e-12
1.1,2.657179238299468e-13,1.1,1.98280615022657e-12,1.1,2.248524074056517e-12
1.2,1.201321699162108e-13,1.2,2.059622765002802e-12,1.2,2.179754934919013e-12
1.3,9.610940279259541e-15,1.3,2.135380285196725e-12,1.3,2.125769344917465e-12
1.4,1.253772566540808e-13,1.4,2.207168194200821e-12,1.4,2.08179093754674e-12
1.5,2.424661505421645e-13,1.5,2.284381220860453e-12,1.5,2.041915070318288e-12
1.6,3.480361668130562e-13,1.6,2.361947976005867e-12,1.6,2.013911809192811e-12
1.7,4.481505833953664e-13,1.7,2.438281459057314e-12,1.7,1.990130875661948e-12
1.8,5.41660391586167e-13,1.8,2.511963462442324e-12,1.8,1.970303070856157e-12
1.9,6.452237760686355e-13,1.9,2.586158524104689e-12,1.9,1.940934748036054e-12
2,7.325576103966151e-13,2,2.664984827650277e-12,2,1.932427217253662e-12
