tplh X,tplh Y,tphl X,tphl Y
1,2.318154234374239e-12,1,1.904448412677991e-12
1.05,2.273739587214899e-12,1.05,1.941656357625413e-12
1.1,2.233612445882551e-12,1.1,1.980778838032813e-12
1.15,2.198233848312658e-12,1.15,2.018130426753656e-12
1.2,2.173360471375779e-12,1.2,2.055972879309297e-12
1.25,2.142672782554784e-12,1.25,2.092644459290914e-12
1.3,2.120490117033959e-12,1.3,2.130006440827721e-12
1.35,2.09725744556289e-12,1.35,2.168549828038946e-12
1.4,2.076738657523515e-12,1.4,2.20534809993398e-12
1.45,2.057876563656359e-12,1.45,2.243794984582691e-12
1.5,2.038385350923793e-12,1.5,2.281610806618387e-12
1.55,2.023089038098003e-12,1.55,2.319686332444038e-12
1.6,2.008835748084317e-12,1.6,2.358341980219137e-12
1.65,1.995083845962399e-12,1.65,2.397115051133405e-12
1.7,1.982835192640792e-12,1.7,2.434500175204267e-12
1.75,1.971970253096207e-12,1.75,2.472044011335447e-12
1.8,1.961423940102359e-12,1.8,2.509906918739094e-12
1.85,1.951645149364174e-12,1.85,2.547854731604525e-12
1.9,1.942665495526141e-12,1.9,2.585810039357146e-12
1.95,1.93233085177109e-12,1.95,2.623808020797397e-12
2,1.922918230166543e-12,2,2.661878629268939e-12
2.05,1.915182577069994e-12,2.05,2.699943956554444e-12
2.1,1.909570133823341e-12,2.1,2.737984827318147e-12
2.15,1.903697066651806e-12,2.15,2.776019416878973e-12
2.2,1.895882695607095e-12,2.2,2.814067602071021e-12
2.25,1.890839373599179e-12,2.25,2.851950625609998e-12
2.3,1.884523180095732e-12,2.3,2.889818861365581e-12
2.35,1.880515740564376e-12,2.35,2.928025929677462e-12
2.4,1.873714318810789e-12,2.4,2.965991033500403e-12
2.45,1.86699773522869e-12,2.45,3.003941017934141e-12
2.5,1.864983271439029e-12,2.5,3.041878305884537e-12
2.55,1.857942173692673e-12,2.55,3.079804993648988e-12
2.6,1.854484444673921e-12,2.6,3.11771977908505e-12
2.65,1.852084046680167e-12,2.65,3.155626369625116e-12
2.7,1.8479994189223e-12,2.7,3.19352609307092e-12
2.75,1.841968112906912e-12,2.75,3.231420081437497e-12
2.8,1.837147500285818e-12,2.8,3.269309830236249e-12
2.85,1.833014048013624e-12,2.85,3.307194120558104e-12
2.9,1.832336146237764e-12,2.9,3.345081956649385e-12
2.95,1.830453336746008e-12,2.95,3.383007809269855e-12
3,1.823970056219748e-12,3,3.419848967517409e-12
3.05,1.819769518223447e-12,3.05,3.458245055977779e-12
3.1,1.816119362774367e-12,3.1,3.496454561120764e-12
3.15,1.814988212186124e-12,3.15,3.534005728146861e-12
3.2,1.811370712226205e-12,3.2,3.57054798322517e-12
3.25,1.807127202302962e-12,3.25,3.609055309920514e-12
3.3,1.802773649068672e-12,3.3,3.646794304456677e-12
3.35,1.800694665489017e-12,3.35,3.684525874614868e-12
3.4,1.79839934255441e-12,3.4,3.722424533087359e-12
3.45,1.795820428873011e-12,3.45,3.759999530132994e-12
3.5,1.790814450588976e-12,3.5,3.797680442057274e-12
3.55,1.794052480026753e-12,3.55,3.835584817681511e-12
3.6,1.790454446114807e-12,3.6,3.87382025737491e-12
3.65,1.78699820394328e-12,3.65,3.9121387647274e-12
3.7,1.783513413373299e-12,3.7,3.950562227636383e-12
3.75,1.780276522096341e-12,3.75,3.989236947305602e-12
3.8,1.777202368652265e-12,3.8,4.027693848746466e-12
3.85,1.774314660692555e-12,3.85,4.066500798208955e-12
3.9,1.776007273495425e-12,3.9,4.104042035407281e-12
3.95,1.773630622705623e-12,3.95,4.141656952616456e-12
4,1.770984722806637e-12,4,4.178963934995608e-12
4.05,1.768387830043604e-12,4.05,4.216996174001223e-12
4.1,1.765722011867079e-12,4.1,4.253418224355755e-12
4.15,1.763044710458269e-12,4.15,4.292275069632693e-12
4.2,1.760295300856728e-12,4.2,4.328129069199512e-12
4.25,1.75743899453919e-12,4.25,4.369076321124207e-12
4.3,1.749720997599581e-12,4.3,4.406534867707333e-12
4.35,1.74675879793613e-12,4.35,4.444641556010928e-12
4.4,1.743827607420958e-12,4.4,4.48359822199743e-12
4.45,1.740812304383455e-12,4.45,4.524496836756975e-12
4.5,1.737670615698859e-12,4.5,4.562629673799948e-12
4.55,1.74150137911946e-12,4.55,4.600763438990015e-12
4.6,1.738811638396546e-12,4.6,4.638997963091954e-12
4.65,1.729898407208022e-12,4.65,4.677067802008465e-12
4.7,1.725951448621663e-12,4.7,4.715154540246386e-12
4.75,1.720970062801051e-12,4.75,4.753242393416333e-12
4.8,1.725436778723886e-12,4.8,4.791365915153528e-12
4.85,1.722299274137204e-12,4.85,4.829447739178221e-12
4.9,1.719154149231846e-12,4.9,4.867419867513071e-12
4.95,1.71673731342555e-12,4.95,4.905773947981069e-12
5,1.714649875557109e-12,5,4.943845996414524e-12
5.05,1.711195460012133e-12,5.05,4.981821008968268e-12
5.1,1.707781480013496e-12,5.1,5.019951774907231e-12
5.15,1.706177219516671e-12,5.15,5.058330480691463e-12
5.2,1.699921282375374e-12,5.2,5.096776494357624e-12
5.25,1.692651136583631e-12,5.25,5.135206982481693e-12
5.3,1.689715684036897e-12,5.3,5.173662588005175e-12
5.35,1.6867827966368e-12,5.35,5.212113676731242e-12
5.4,1.683754849448802e-12,5.4,5.250518969362176e-12
5.45,1.679127438504942e-12,5.45,5.28891206830347e-12
5.5,1.677024663563126e-12,5.5,5.327301207689875e-12
5.55,1.674852902644961e-12,5.55,5.365687032076453e-12
5.6,1.670329082917342e-12,5.6,5.404071164876956e-12
5.65,1.66716522537543e-12,5.65,5.442452922454681e-12
5.7,1.665150241805325e-12,5.7,5.480825367894464e-12
5.75,1.660924675097163e-12,5.75,5.519197959232397e-12
5.8,1.65796939794944e-12,5.8,5.557563472702866e-12
5.85,1.655563965231552e-12,5.85,5.595890272843432e-12
5.9,1.650958130076361e-12,5.9,5.634200612484604e-12
5.95,1.64668286603936e-12,5.95,5.672478618129777e-12
6,1.642813533913183e-12,6,5.710760480415283e-12
6.05,1.639127619949148e-12,6.05,5.749029228272258e-12
