trise X,trise Y,tfall X,tfall Y
9e-11,5.133107025046541e-12,9e-11,5.32112516353617e-12
9.1e-11,5.141563615505713e-12,9.1e-11,5.327975379992146e-12
9.200000000000001e-11,5.149605954906735e-12,9.200000000000001e-11,5.335360987008684e-12
9.3e-11,5.158206514483926e-12,9.3e-11,5.342741856810361e-12
9.4e-11,5.166842335308175e-12,9.4e-11,5.350089862138764e-12
9.5e-11,5.175527349767827e-12,9.5e-11,5.357460740358187e-12
9.6e-11,5.184224676731488e-12,9.6e-11,5.36482714866772e-12
9.7e-11,5.192932010747528e-12,9.7e-11,5.372189246209179e-12
9.8e-11,5.201651363453024e-12,9.8e-11,5.379547221421317e-12
9.899999999999999e-11,5.210420243280058e-12,9.899999999999999e-11,5.386661280807564e-12
1e-10,5.219195305686602e-12,1e-10,5.394265571088668e-12
1.01e-10,5.228045001079335e-12,1.01e-10,5.401842540798218e-12
1.02e-10,5.236916341783613e-12,1.02e-10,5.408811786776047e-12
1.03e-10,5.244005931451515e-12,1.03e-10,5.416039461172333e-12
1.04e-10,5.254541448196505e-12,1.04e-10,5.423442588178202e-12
1.05e-10,5.264818278154492e-12,1.05e-10,5.428453830813557e-12
1.06e-10,5.273719525527495e-12,1.06e-10,5.435619123555174e-12
1.07e-10,5.282543340324833e-12,1.07e-10,5.443740501070417e-12
1.08e-10,5.284783992225926e-12,1.08e-10,5.457076818415308e-12
1.09e-10,5.296811436117095e-12,1.09e-10,5.463165413249932e-12
1.1e-10,5.304014943318865e-12,1.1e-10,5.470433986107708e-12
1.11e-10,5.311501034833467e-12,1.11e-10,5.4779322587396e-12
1.12e-10,5.333503994380215e-12,1.12e-10,5.485330369777746e-12
1.13e-10,5.342417110140647e-12,1.13e-10,5.492771981354583e-12
1.14e-10,5.340157077437506e-12,1.14e-10,5.500250615467763e-12
1.15e-10,5.349134608134518e-12,1.15e-10,5.50776097623962e-12
1.16e-10,5.358025981816508e-12,1.16e-10,5.515298328919515e-12
1.17e-10,5.364987669410113e-12,1.17e-10,5.523459549400694e-12
1.18e-10,5.374976973008451e-12,1.18e-10,5.530948300437153e-12
1.19e-10,5.405196395692008e-12,1.19e-10,5.538497565888351e-12
1.2e-10,5.393884461899114e-12,1.2e-10,5.545864603881009e-12
1.21e-10,5.402756011694799e-12,1.21e-10,5.546320849174535e-12
1.22e-10,5.411340867201739e-12,1.22e-10,5.554273548599974e-12
1.23e-10,5.426906204203142e-12,1.23e-10,5.567777377776542e-12
1.24e-10,5.435998164597787e-12,1.24e-10,5.575237901871835e-12
1.25e-10,5.445088599750792e-12,1.25e-10,5.582720155987317e-12
1.26e-10,5.454178619420902e-12,1.26e-10,5.590204619590763e-12
1.27e-10,5.463272891818446e-12,1.27e-10,5.597691368219919e-12
1.28e-10,5.472375321824869e-12,1.28e-10,5.605181088827162e-12
1.29e-10,5.481484536724019e-12,1.29e-10,5.612672839741581e-12
1.3e-10,5.490629064148806e-12,1.3e-10,5.621127051233099e-12
1.31e-10,5.499754247141024e-12,1.31e-10,5.628468633057691e-12
1.32e-10,5.508843815230076e-12,1.32e-10,5.638083192288232e-12
1.33e-10,5.517980056019044e-12,1.33e-10,5.645543573159437e-12
1.34e-10,5.527126753085639e-12,1.34e-10,5.653058127732812e-12
1.35e-10,5.536268834246188e-12,1.35e-10,5.660580842738518e-12
1.36e-10,5.545424772766492e-12,1.36e-10,5.668112647176095e-12
1.37e-10,5.554582959742372e-12,1.37e-10,5.675383424613319e-12
1.38e-10,5.563750438001322e-12,1.38e-10,5.682943701433494e-12
1.39e-10,5.572923928559688e-12,1.39e-10,5.690762851279288e-12
1.4e-10,5.582104718318598e-12,1.4e-10,5.697789570314576e-12
1.41e-10,5.591275713345848e-12,1.41e-10,5.70532724604505e-12
1.42e-10,5.600471170320656e-12,1.42e-10,5.712878432887208e-12
1.43e-10,5.60965682539711e-12,1.43e-10,5.720443914038362e-12
1.44e-10,5.618850453356469e-12,1.44e-10,5.728024517307019e-12
1.45e-10,5.628050367418645e-12,1.45e-10,5.735621113474624e-12
1.46e-10,5.636172822345722e-12,1.46e-10,5.743215645172223e-12
1.47e-10,5.643819023336736e-12,1.47e-10,5.7506697172831e-12
1.48e-10,5.64909186516092e-12,1.48e-10,5.758164591562068e-12
1.49e-10,5.658170341538816e-12,1.49e-10,5.765566763674153e-12
1.5e-10,5.675328148867815e-12,1.5e-10,5.7728348687284e-12
1.51e-10,5.683730166516208e-12,1.51e-10,5.780030786050216e-12
1.52e-10,5.692300945698758e-12,1.52e-10,5.787239654409145e-12
1.53e-10,5.700915039128676e-12,1.53e-10,5.794461198782342e-12
1.54e-10,5.709550605803336e-12,1.54e-10,5.801695358402029e-12
1.55e-10,5.718320710261341e-12,1.55e-10,5.808942071623734e-12
1.56e-10,5.727248890377008e-12,1.56e-10,5.816201275221598e-12
1.57e-10,5.733392488575918e-12,1.57e-10,5.8234180615013e-12
1.58e-10,5.749897428796618e-12,1.58e-10,5.829786660200764e-12
1.59e-10,5.759143881727504e-12,1.59e-10,5.83717150474184e-12
1.6e-10,5.768396142002304e-12,1.6e-10,5.844445715266801e-12
1.61e-10,5.777641788537972e-12,1.61e-10,5.851731611817117e-12
1.62e-10,5.786905326043995e-12,1.62e-10,5.859029061778961e-12
1.63e-10,5.796174417511967e-12,1.63e-10,5.867098447598538e-12
1.64e-10,5.805467707374517e-12,1.64e-10,5.873582352879554e-12
1.65e-10,5.814749071383747e-12,1.65e-10,5.880995342916301e-12
1.66e-10,5.824036536736732e-12,1.66e-10,5.888139605591396e-12
1.67e-10,5.833372007304808e-12,1.67e-10,5.895566862375571e-12
1.68e-10,5.842658652703431e-12,1.68e-10,5.902998067516484e-12
1.69e-10,5.851940459274141e-12,1.69e-10,5.910426960873753e-12
1.7e-10,5.861105605042582e-12,1.7e-10,5.917860761767321e-12
1.71e-10,5.870213189509187e-12,1.71e-10,5.925342167708684e-12
1.72e-10,5.879338794006175e-12,1.72e-10,5.932782134730793e-12
1.73e-10,5.88848253983131e-12,1.73e-10,5.940226967734582e-12
1.74e-10,5.897645420951288e-12,1.74e-10,5.947676558183809e-12
1.75e-10,5.906225567246208e-12,1.75e-10,5.955130816147268e-12
1.76e-10,5.915477217160977e-12,1.76e-10,5.962589647495748e-12
1.77e-10,5.924746284078228e-12,1.77e-10,5.970052956284259e-12
1.78e-10,5.934032359986159e-12,1.78e-10,5.977436061480194e-12
1.79e-10,5.943430301715638e-12,1.79e-10,5.984827955076748e-12
1.8e-10,5.952851196469652e-12,1.8e-10,5.992253672521721e-12
1.81e-10,5.962270526568524e-12,1.81e-10,6.002372558446554e-12
1.82e-10,5.971694430340909e-12,1.82e-10,6.009958941067513e-12
1.83e-10,5.981142959386009e-12,1.83e-10,6.017558947770758e-12
1.84e-10,5.990721733954404e-12,1.84e-10,6.017762810222734e-12
1.85e-10,6.000403208369212e-12,1.85e-10,6.025203163961603e-12
1.86e-10,6.011721547967883e-12,1.86e-10,6.032881419182247e-12
1.87e-10,6.012497548579979e-12,1.87e-10,6.041176910454506e-12
1.88e-10,6.028515529777678e-12,1.88e-10,6.048339204138454e-12
1.89e-10,6.03666296228362e-12,1.89e-10,6.056082344471834e-12
1.9e-10,6.043165508422063e-12,1.9e-10,6.063562248021012e-12
1.91e-10,6.058423221321172e-12,1.91e-10,6.071327660821365e-12
1.92e-10,6.067773533593933e-12,1.92e-10,6.081820143079315e-12
1.93e-10,6.077236275388667e-12,1.93e-10,6.089503576142844e-12
1.94e-10,6.086625796128341e-12,1.94e-10,6.096891326700106e-12
1.95e-10,6.095829085127121e-12,1.95e-10,6.118731754147426e-12
1.96e-10,6.105027044707093e-12,1.96e-10,6.126991793948138e-12
1.97e-10,6.114060502805855e-12,1.97e-10,6.134701830861684e-12
1.98e-10,6.124007775947753e-12,1.98e-10,6.142651003890324e-12
1.99e-10,6.12803075260446e-12,1.99e-10,6.142788585781546e-12
2e-10,6.145621709487802e-12,2e-10,6.145385222139048e-12
2.01e-10,6.154867129779647e-12,2.01e-10,6.152884450427137e-12
2.02e-10,6.163711249041992e-12,2.02e-10,6.160364742960971e-12
2.03e-10,6.172293250299362e-12,2.03e-10,6.16772967655661e-12
2.04e-10,6.181526568224161e-12,2.04e-10,6.175025375409797e-12
2.05e-10,6.192225266984787e-12,2.05e-10,6.182328552168622e-12
2.06e-10,6.202832563372987e-12,2.06e-10,6.189629540631463e-12
2.07e-10,6.211723227605327e-12,2.07e-10,6.197027585624653e-12
2.08e-10,6.219485150747139e-12,2.08e-10,6.204476428854581e-12
2.09e-10,6.2319415470319e-12,2.09e-10,6.21193491690951e-12
2.1e-10,6.239117840487826e-12,2.1e-10,6.219363764319571e-12
2.11e-10,6.25103287490788e-12,2.11e-10,6.226824613459737e-12
