tfall X,tfall Y,trise X,trise Y
1,3.503078110888799e-12,1,5.337381411839538e-12
1.1,3.598371952163037e-12,1.1,5.148862705670577e-12
1.2,3.716830569300756e-12,1.2,5.001978640323537e-12
1.3,3.836481040948548e-12,1.3,4.880320758744927e-12
1.4,3.962534046827214e-12,1.4,4.783593297265714e-12
1.5,4.099770488655425e-12,1.5,4.700775813883719e-12
1.6,4.241819929693613e-12,1.6,4.639323282690628e-12
1.7,4.381424568188103e-12,1.7,4.591706627400439e-12
1.8,4.530530804233117e-12,1.8,4.557213473974952e-12
1.9,4.676381243416198e-12,1.9,4.527597159462442e-12
2,4.82409871792517e-12,2,4.514735338209459e-12
