tfall X,tfall Y,trise X,trise Y
1,3.499418631047684e-12,1,5.323164383154123e-12
1.05,3.536706410678173e-12,1.05,5.220739253831075e-12
1.1,3.594993795089715e-12,1.1,5.133940994588461e-12
1.15,3.647702404885629e-12,1.15,5.054138212546174e-12
1.2,3.703476343891359e-12,1.2,4.98758935694009e-12
1.25,3.760744003558923e-12,1.25,4.920242807658884e-12
1.3,3.823521827560761e-12,1.3,4.866785312987622e-12
1.35,3.883090569574637e-12,1.35,4.8150689598073e-12
1.4,3.947942245953711e-12,1.4,4.76872466047398e-12
1.45,4.014803748070021e-12,1.45,4.726695974783242e-12
1.5,4.085828537741771e-12,1.5,4.684691127934833e-12
1.55,4.152597389303154e-12,1.55,4.652276359104359e-12
1.6,4.222856468549568e-12,1.6,4.622480481461939e-12
1.65,4.301347819495295e-12,1.65,4.598314808268432e-12
1.7,4.37204611370137e-12,1.7,4.576186181100449e-12
1.75,4.443966663255028e-12,1.75,4.557164532265676e-12
1.8,4.516210608451514e-12,1.8,4.540991282768669e-12
1.85,4.589194719794044e-12,1.85,4.527574920063164e-12
1.9,4.662315944156248e-12,1.9,4.516544930437952e-12
1.95,4.735928334892242e-12,1.95,4.50405044251907e-12
2,4.809765301441875e-12,2,4.498395861467787e-12
2.05,4.883811668591439e-12,2.05,4.493378439285561e-12
2.1,4.957661431083605e-12,2.1,4.486311150890047e-12
2.15,5.031500953704761e-12,2.15,4.488367653606477e-12
2.2,5.105331766389568e-12,2.2,4.485842857574762e-12
2.25,5.179341052745753e-12,2.25,4.489100684515092e-12
2.3,5.253430498878948e-12,2.3,4.487675320162671e-12
2.35,5.327115341893736e-12,2.35,4.494319142238173e-12
2.4,5.400794763083985e-12,2.4,4.495709189525388e-12
2.45,5.474475221368293e-12,2.45,4.502470456067454e-12
2.5,5.548109137225541e-12,2.5,4.511952081383103e-12
2.55,5.622873769552607e-12,2.55,4.518236510714277e-12
2.6,5.69614378077858e-12,2.6,4.526664866058072e-12
2.65,5.769253565041902e-12,2.65,4.53200001058998e-12
2.7,5.842249083452066e-12,2.7,4.545421013487554e-12
2.75,5.915131942330711e-12,2.75,4.556201512575707e-12
2.8,5.988031173433884e-12,2.8,4.566343493776761e-12
2.85,6.060693963606075e-12,2.85,4.576944521949098e-12
2.9,6.133197332496868e-12,2.9,4.58605868193909e-12
2.95,6.205499438866267e-12,2.95,4.59948495531389e-12
3,6.27723951213282e-12,3,4.610616401314679e-12
3.05,6.349416098826909e-12,3.05,4.623407362246367e-12
3.1,6.417175399015135e-12,3.1,4.636517226013734e-12
3.15,6.489325303584403e-12,3.15,4.648873048326108e-12
3.2,6.562056808964747e-12,3.2,4.66437952772116e-12
3.25,6.633121345828764e-12,3.25,4.672364444647723e-12
3.3,6.704769945917908e-12,3.3,4.69154328372603e-12
3.35,6.776216199472606e-12,3.35,4.706623738933622e-12
3.4,6.847910069832232e-12,3.4,4.719378486394402e-12
3.45,6.919389060499252e-12,3.45,4.737646434182166e-12
3.5,6.990532902627036e-12,3.5,4.752086736418051e-12
3.55,7.062543077812207e-12,3.55,4.77072205130212e-12
3.6,7.133468539077015e-12,3.6,4.786276728499761e-12
3.65,7.20433060052511e-12,3.65,4.802021386789935e-12
3.7,7.275045673158187e-12,3.7,4.818677744718016e-12
3.75,7.345356575023075e-12,3.75,4.834946046108311e-12
3.8,7.412607826641587e-12,3.8,4.851513297083548e-12
3.85,7.48278947107287e-12,3.85,4.868315366708031e-12
3.9,7.55424826462045e-12,3.9,4.886333703249924e-12
3.95,7.625955435915231e-12,3.95,4.903656285784124e-12
4,7.696555079614362e-12,4,4.921081434128391e-12
4.05,7.766844108241446e-12,4.05,4.938712533808928e-12
4.1,7.837306232845246e-12,4.1,4.956229693171734e-12
4.15,7.907579429483339e-12,4.15,4.973599960947712e-12
4.2,7.976791852311675e-12,4.2,4.99100899241228e-12
4.25,8.044542488074215e-12,4.25,5.010530273815239e-12
4.3,8.11704880923814e-12,4.3,5.027156081296468e-12
4.35,8.184274556282348e-12,4.35,5.045304453409981e-12
4.4,8.25484890561221e-12,4.4,5.063602770769976e-12
4.45,8.325821971636344e-12,4.45,5.082186691910118e-12
4.5,8.396069176921437e-12,4.5,5.098897487183264e-12
4.55,8.466244154973846e-12,4.55,5.119026364602522e-12
4.6,8.536821519902184e-12,4.6,5.137701220188944e-12
4.65,8.607102186557873e-12,4.65,5.158197310147465e-12
4.7,8.677448502355463e-12,4.7,5.175046065772929e-12
4.75,8.747254251521909e-12,4.75,5.198472810987973e-12
4.8,8.815890612907148e-12,4.8,5.221871671216648e-12
4.85,8.886599678315339e-12,4.85,5.241152080742048e-12
4.9,8.956411075098854e-12,4.9,5.260505883720182e-12
4.95,9.026316850031435e-12,4.95,5.278764126614718e-12
5,9.096511920267587e-12,5,5.29885040902346e-12
5.05,9.16645853686633e-12,5.05,5.318370385525842e-12
5.1,9.236233672307619e-12,5.1,5.337935260445578e-12
5.15,9.305960890182349e-12,5.15,5.351811746357136e-12
5.2,9.375586956831489e-12,5.2,5.373168451925911e-12
5.25,9.445102216881721e-12,5.25,5.394765909378117e-12
5.3,9.514913266532877e-12,5.3,5.415020981716472e-12
5.35,9.584608558592891e-12,5.35,5.435315198094298e-12
5.4,9.654200651883907e-12,5.4,5.448817940981536e-12
5.45,9.723938070717417e-12,5.45,5.475081396916427e-12
5.5,9.793602101741271e-12,5.5,5.491862582586253e-12
5.55,9.862619630640018e-12,5.55,5.508603762492934e-12
5.6,9.932082479407177e-12,5.6,5.536250651075936e-12
5.65,1.000155194032045e-11,5.65,5.556645748885874e-12
5.7,1.007101820899368e-11,5.7,5.568855005824985e-12
5.75,1.014050215611969e-11,5.75,5.590271142467887e-12
5.8,1.020999076578634e-11,5.8,5.609647446373339e-12
5.85,1.027940226407236e-11,5.85,5.639649225734426e-12
5.9,1.034881528174079e-11,5.9,5.659372215619447e-12
5.95,1.041819312879335e-11,5.95,5.679424893690073e-12
6,1.048760278451276e-11,6,5.699702183907776e-12
6.05,1.055740543819357e-11,6.05,5.720055914818945e-12
6.1,1.062670090710906e-11,6.1,5.740396208723693e-12
6.15,1.069629225170146e-11,6.15,5.760766757474029e-12
6.2,1.076496400231473e-11,6.2,5.781722337971164e-12
6.25,1.083497550136003e-11,6.25,5.804270595425612e-12
6.3,1.090193955430219e-11,6.3,5.817113743903448e-12
6.35,1.097451474420726e-11,6.35,5.845814201646224e-12
6.4,1.104264731971663e-11,6.4,5.869868131348271e-12
6.45,1.111088422983105e-11,6.45,5.890317978919465e-12
6.5,1.118093388931924e-11,6.5,5.910846098575236e-12
6.55,1.126010747237459e-11,6.55,5.932068762192577e-12
6.6,1.132985694833561e-11,6.6,5.952952238017461e-12
6.65,1.139968180414436e-11,6.65,5.973735203648892e-12
6.7,1.146954282138655e-11,6.7,5.994386640687401e-12
6.75,1.153941703673818e-11,6.75,6.015052272760644e-12
6.8,1.160930430694559e-11,6.8,6.036320126929063e-12
6.85,1.167920350283685e-11,6.85,6.056595876572506e-12
6.9,1.174912741433129e-11,6.9,6.077931928434002e-12
6.95,1.181907340445673e-11,6.95,6.095273510526014e-12
7,1.188898160725847e-11,7,6.116310690034768e-12
7.05,1.195879586108141e-11,7.05,6.141172859786078e-12
7.1,1.202866121847964e-11,7.1,6.153200438726062e-12
7.15,1.209854189818266e-11,7.15,6.178286198057157e-12
7.2,1.216485625668314e-11,7.2,6.199799478228715e-12
7.25,1.223477630607166e-11,7.25,6.221150714135173e-12
7.3,1.23052146529667e-11,7.3,6.242526175078044e-12
7.35,1.237523438915096e-11,7.35,6.263935192038448e-12
7.4,1.244528220830935e-11,7.4,6.285207844701452e-12
7.45,1.251549273802211e-11,7.45,6.306699490460397e-12
7.5,1.258550468702332e-11,7.5,6.328014499131661e-12
7.55,1.265553956340446e-11,7.55,6.349195092190846e-12
