time_period X,time_period Y
0,1.174154074006929e-11
0.01,1.193938041016045e-11
0.02,1.21389604642565e-11
0.03,1.234901621745515e-11
0.04,1.256726672127678e-11
0.05,1.279469766530928e-11
0.06,1.302733454174013e-11
0.07000000000000001,1.327571699775682e-11
0.08,1.35337960471266e-11
0.09,1.380288332038308e-11
0.1,1.407879123471742e-11
0.11,1.43754909054324e-11
0.12,1.46824905533196e-11
0.13,1.500867259283337e-11
0.14,1.534992851616333e-11
0.15,1.570675215872248e-11
0.16,1.608855533419984e-11
0.17,1.648226517033042e-11
0.18,1.690451347106781e-11
0.19,1.73484048218803e-11
0.2,1.781968313211952e-11
0.21,1.832434176144087e-11
0.22,1.88593326391215e-11
0.23,1.942868975352533e-11
0.24,2.0036734787394e-11
0.25,2.068400876598477e-11
0.26,2.13917829672899e-11
0.27,2.213343080900384e-11
0.28,2.294031013824671e-11
0.29,2.382696883772819e-11
0.3,2.476045617438471e-11
0.31,2.581271822223623e-11
0.32,2.692969920827593e-11
0.33,2.81636015188117e-11
0.34,2.950498690918805e-11
0.35,3.101300248559945e-11
0.36,3.265380093455272e-11
0.37,3.448579390993057e-11
0.38,3.649868086620422e-11
0.39,3.881075573627465e-11
0.4,4.135372341251275e-11
