freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
100.0,-19.71E-18,-20.65E-18,-25.04E-18,-26.22E-18
1.100E3,-216.8E-18,-227.1E-18,-275.5E-18,-288.4E-18
2.100E3,-414.0E-18,-433.6E-18,-525.9E-18,-550.7E-18
3.100E3,-611.1E-18,-640.1E-18,-776.3E-18,-812.9E-18
4.100E3,-808.3E-18,-846.6E-18,-1.027E-15,-1.075E-15
5.100E3,-1.005E-15,-1.053E-15,-1.277E-15,-1.337E-15
6.100E3,-1.203E-15,-1.260E-15,-1.528E-15,-1.600E-15
7.100E3,-1.400E-15,-1.466E-15,-1.778E-15,-1.862E-15
8.100E3,-1.597E-15,-1.673E-15,-2.028E-15,-2.124E-15
9.100E3,-1.794E-15,-1.879E-15,-2.279E-15,-2.386E-15
10.10E3,-1.991E-15,-2.086E-15,-2.529E-15,-2.648E-15
11.10E3,-2.188E-15,-2.292E-15,-2.780E-15,-2.911E-15
12.10E3,-2.385E-15,-2.499E-15,-3.030E-15,-3.173E-15
13.10E3,-2.582E-15,-2.705E-15,-3.281E-15,-3.435E-15
14.10E3,-2.780E-15,-2.911E-15,-3.531E-15,-3.697E-15
15.10E3,-2.977E-15,-3.118E-15,-3.781E-15,-3.959E-15
16.10E3,-3.174E-15,-3.324E-15,-4.032E-15,-4.222E-15
17.10E3,-3.371E-15,-3.531E-15,-4.282E-15,-4.484E-15
18.10E3,-3.568E-15,-3.737E-15,-4.533E-15,-4.746E-15
19.10E3,-3.765E-15,-3.944E-15,-4.783E-15,-5.008E-15
20.10E3,-3.962E-15,-4.150E-15,-5.034E-15,-5.271E-15
21.10E3,-4.160E-15,-4.357E-15,-5.284E-15,-5.533E-15
22.10E3,-4.357E-15,-4.563E-15,-5.534E-15,-5.795E-15
23.10E3,-4.554E-15,-4.770E-15,-5.785E-15,-6.057E-15
24.10E3,-4.751E-15,-4.976E-15,-6.035E-15,-6.319E-15
25.10E3,-4.948E-15,-5.183E-15,-6.286E-15,-6.582E-15
26.10E3,-5.145E-15,-5.389E-15,-6.536E-15,-6.844E-15
27.10E3,-5.342E-15,-5.596E-15,-6.787E-15,-7.106E-15
28.10E3,-5.540E-15,-5.802E-15,-7.037E-15,-7.368E-15
29.10E3,-5.737E-15,-6.009E-15,-7.287E-15,-7.630E-15
30.10E3,-5.934E-15,-6.215E-15,-7.538E-15,-7.893E-15
31.10E3,-6.131E-15,-6.422E-15,-7.788E-15,-8.155E-15
32.10E3,-6.328E-15,-6.628E-15,-8.039E-15,-8.417E-15
33.10E3,-6.525E-15,-6.835E-15,-8.289E-15,-8.679E-15
34.10E3,-6.722E-15,-7.041E-15,-8.540E-15,-8.942E-15
35.10E3,-6.919E-15,-7.248E-15,-8.790E-15,-9.204E-15
36.10E3,-7.117E-15,-7.454E-15,-9.040E-15,-9.466E-15
37.10E3,-7.314E-15,-7.661E-15,-9.291E-15,-9.728E-15
38.10E3,-7.511E-15,-7.867E-15,-9.541E-15,-9.990E-15
39.10E3,-7.708E-15,-8.074E-15,-9.792E-15,-10.25E-15
40.10E3,-7.905E-15,-8.280E-15,-10.04E-15,-10.51E-15
