freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
100.0,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
1.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
2.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
3.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
4.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
5.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
6.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
7.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
8.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
9.100E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
10.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
11.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
12.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
13.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
14.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
15.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
16.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
17.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
18.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
19.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
20.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
21.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
22.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
23.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
24.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
25.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
26.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
27.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
28.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
29.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
30.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
31.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
32.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
33.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
34.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
35.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
36.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
37.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
38.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
39.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
